month_id,country_id,step_combined,multi_0_logit,multi_1_logit,multi_2_logit,multi_3_logit,multi_4_logit
510,1,0.01651219362648983,0.9826533751620271,0.015466716445471956,0.0018777068227461048,2.2015668739631593e-06,2.8809761650195997e-12
510,2,0.007057693843822977,0.9830956596675526,0.015088497097704016,0.0018137422393087663,2.1009927338777723e-06,2.7007157467249203e-12
510,3,0.031786809799723426,0.981914337352836,0.016097490634466614,0.0019857977442696477,2.374265230198098e-06,3.1978894097217567e-12
510,4,0.5989398761820303,0.916566596204503,0.06816592427053128,0.015229849594438474,3.762978262435764e-05,1.4790316271153081e-10
510,5,0.04320273602303314,0.9813415976976864,0.016585307743492032,0.002070582483303622,2.512072060817913e-06,3.4572301164574743e-12
510,6,0.043295403660732576,0.981336875429664,0.016589326179795992,0.002071285164460706,2.5132226200324103e-06,3.4594188625882304e-12
510,7,0.03176084618414213,0.9819156197955231,0.01609639735481676,0.001985608885922854,2.3739605398821587e-06,3.1973222635989567e-12
510,8,0.01693108149333262,0.9826335148915676,0.015483687062388488,0.0018805919111613738,2.2061319930454864e-06,2.8892345401755028e-12
510,9,1.4481289147781347,0.47447620736453205,0.33955644403765306,0.18461490902294306,0.0013524131532747655,2.6421597175082786e-08
510,10,0.03328903532818622,0.9818399822614159,0.016160870577445936,0.001996755197271919,2.391960635522906e-06,3.2308752041291125e-12
510,11,0.10430495261595842,0.9779551673015392,0.019452429108786896,0.002589007055134802,3.3965292931568513e-06,5.246145545747824e-12
510,12,0.05915223628985642,0.9805110593554632,0.01729115849133576,0.002195064133305696,2.7180160401513138e-06,3.855032948054859e-12
510,13,0.19382622421614296,0.971864672118695,0.02454252799609002,0.003587522044258374,5.277831303545793e-06,9.653286224408092e-12
510,14,0.02950168933527768,0.9820268621801208,0.01600154647293763,0.0019692437467638754,2.347597029406486e-06,3.148355572463818e-12
510,16,0.03377333826097882,0.9818159460778586,0.016181355713977854,0.0020003005115552482,2.397693366824265e-06,3.241581645312106e-12
510,17,0.6342365878525837,0.9085110486670366,0.07423425191263111,0.017210211390875058,4.448784254696144e-05,1.8691031289920936e-10
510,18,0.030749139507300374,0.9819655214244226,0.016053852859506206,0.0019782635947931193,2.3621181028909737e-06,3.1753005774125623e-12
510,19,0.03802664428974095,0.981603487220346,0.016362358759160846,0.0020317053866724367,2.448630483612089e-06,3.3371415687020667e-12
510,20,0.032434982335386386,0.9818822922554624,0.016124807564906043,0.001990518292088042,2.381884331506418e-06,3.2120805664960527e-12
510,21,0.03306794822725826,0.9818509443989479,0.016151527441049363,0.0019951388086337264,2.389348143076093e-06,3.225999379459509e-12
510,22,0.05575055717175023,0.9806912264366643,0.017138192148044813,0.0021679086819208987,2.672729603478648e-06,3.7665301647700496e-12
510,23,0.035604111145123574,0.9817247974073641,0.01625902414280224,0.002013758958489464,2.4194880618406523e-06,3.282374943358429e-12
510,24,0.05630865080582538,0.9806617814975268,0.017163197363265152,0.002172341027703823,2.6801077232930778e-06,3.7809101620138904e-12
510,25,0.0328448250465893,0.981862000810981,0.016142103624514455,0.0019935088468162215,2.3867144674836236e-06,3.2210860892435777e-12
510,26,0.03234486141579812,0.9818867511386034,0.016121006744386122,0.001989861290270277,2.3808235300132825e-06,3.2101036980231073e-12
510,27,0.03225262642093774,0.9818913134877032,0.01611711767218238,0.001989189098575946,2.379738330418316e-06,3.2080817117925792e-12
510,28,1.9491305345033756,0.15982341041066986,0.43496916599705887,0.3996481878144405,0.005558956069815738,2.797080150115991e-07
510,29,0.03160025635676452,0.9819235499319167,0.016089636831484462,0.0019844411565684236,2.372076836901385e-06,3.1938165862597625e-12
510,30,0.03531303092974758,0.9817393197695455,0.016246651033818903,0.002011613183626326,2.4160097334668853e-06,3.2758550385922957e-12
510,31,0.02845132896813717,0.9820783502974865,0.01595763370609336,0.0019616805542354994,2.3354390588729167e-06,3.1258445931238e-12
510,32,0.03330919990205985,0.9818389821155391,0.016161722995333416,0.0019969026868430404,2.3921990530193835e-06,3.2313202763344598e-12
510,33,0.033910219647346286,0.9818091468500062,0.01618715015745135,0.002001303673180808,2.399316117080231e-06,3.2446140762300626e-12
510,34,0.04622315331077951,0.9811870656366866,0.016716776905408803,0.0020936076099071516,2.5498444682131737e-06,3.5292861537368987e-12
510,35,0.006705375247543606,0.9831119222314697,0.015074579639813738,0.0018114007914950562,2.0973345272036972e-06,2.694220292101504e-12
510,36,0.03617090071109555,0.981696486552604,0.016283143470168616,0.0020179436985985596,2.42627533355639e-06,3.2951076060093596e-12
510,37,0.004666398919175942,0.9832057328920363,0.01499428203171758,0.001797908786136237,2.0762874531247066e-06,2.6569338987717627e-12
510,38,0.004835217588990705,0.9831979855262278,0.0150009143708762,0.0017990220781800975,2.0780220559446716e-06,2.6600014177239695e-12
510,39,0.03130295497797607,0.9819382219258325,0.016077128355298512,0.001982281122239219,2.3685934424217117e-06,3.1873366061542432e-12
510,40,0.04213218761021738,0.9813960658257874,0.016538953556017193,0.0020624817966997154,2.4988180634271893e-06,3.432044373993098e-12
510,41,0.25229107741250884,0.9670183096730386,0.028539470185735164,0.004435188276368253,7.03185049537901e-06,1.4362671643520305e-11
510,42,0.10881781926430024,0.977682099596828,0.019682402308272704,0.0026320251232855073,3.4729662036663942e-06,5.410114351619291e-12
510,43,0.0047608513352813495,0.9832013987545684,0.014997992406825174,0.001798531578178724,2.0772577690935527e-06,2.65864971103566e-12
510,45,0.03033721511146383,0.9819857999660122,0.016036562107221316,0.001975280610395479,2.3573132046647353e-06,3.166377653559333e-12
