,step_pred_1,step_pred_2,step_pred_3,step_pred_4,step_pred_5,step_pred_6,step_pred_7,step_pred_8,step_pred_9,step_pred_10,step_pred_11,step_pred_12,step_pred_13,step_pred_14,step_pred_15,step_pred_16,step_pred_17,step_pred_18,step_pred_19,step_pred_20,step_pred_21,step_pred_22,step_pred_23,step_pred_24,step_pred_25,step_pred_26,step_pred_27,step_pred_28,step_pred_29,step_pred_30,step_pred_31,step_pred_32,step_pred_33,step_pred_34,step_pred_35,step_pred_36
fatalities002_joint_broad_rf,0.03,0.12,0.09,0.1,0.0625,0.025,0.043333333333333335,0.06166666666666667,0.08,0.05666666666666667,0.03333333333333333,0.01,0.016666666666666666,0.02333333333333333,0.03,0.02,0.01,0.0,0.0016666666666666668,0.0033333333333333335,0.005,0.006666666666666667,0.008333333333333333,0.01,0.011666666666666667,0.013333333333333334,0.015,0.016666666666666666,0.018333333333333333,0.02,0.02,0.02,0.02,0.02,0.02,0.02
fatalities002_joint_broad_hurdle_rf,0.015,0.0,0.0,0.01,0.005,0.0,0.005,0.01,0.015,0.016666666666666666,0.018333333333333333,0.02,0.013333333333333334,0.006666666666666667,0.0,0.006666666666666667,0.013333333333333334,0.02,0.021666666666666667,0.023333333333333334,0.024999999999999998,0.02666666666666667,0.028333333333333332,0.03,0.024999999999999998,0.02,0.015,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fatalities002_joint_narrow_xgb,0.06,0.02,0.03,0.08,0.045,0.01,0.006666666666666667,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0033333333333333335,0.005,0.006666666666666667,0.008333333333333333,0.01,0.008333333333333333,0.006666666666666667,0.005,0.0033333333333333335,0.0016666666666666668,0.0,0.0016666666666666668,0.0033333333333333335,0.005,0.006666666666666667,0.008333333333333333,0.01
fatalities002_joint_narrow_hurdle_xgb,0.03,0.0,0.025,0.03,0.0225,0.015,0.013333333333333334,0.011666666666666667,0.01,0.013333333333333334,0.016666666666666666,0.02,0.060000000000000005,0.10000000000000002,0.14,0.09833333333333334,0.05666666666666667,0.015,0.012499999999999999,0.01,0.0075,0.005,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0033333333333333335,0.005,0.006666666666666667,0.008333333333333333,0.01
fatalities002_joint_narrow_hurdle_lgb,0.02,0.02,0.0,0.02,0.01,0.0,0.01,0.02,0.03,0.04666666666666667,0.06333333333333334,0.08,0.05333333333333334,0.02666666666666667,0.0,0.013333333333333334,0.02666666666666667,0.04,0.05000000000000001,0.06,0.07,0.08,0.09000000000000001,0.1,0.125,0.15,0.17500000000000002,0.19999999999999998,0.225,0.25,0.22833333333333336,0.20666666666666667,0.18499999999999997,0.16333333333333333,0.14166666666666666,0.12
fatalities002_all_pca3_xgb,0.07,0.08,0.14,0.02,0.060000000000000005,0.1,0.07166666666666667,0.043333333333333335,0.015,0.015,0.015,0.015,0.013333333333333334,0.011666666666666667,0.01,0.013333333333333334,0.016666666666666666,0.02,0.016666666666666666,0.013333333333333334,0.01,0.006666666666666667,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0033333333333333335,0.005,0.006666666666666667,0.008333333333333333,0.01
fatalities002_aquastat_rf,0.03,0.015,0.025,0.015,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.006666666666666667,0.01,0.008333333333333333,0.006666666666666667,0.005,0.0033333333333333335,0.0016666666666666668,0.0,0.0016666666666666668,0.0033333333333333335,0.005,0.006666666666666667,0.008333333333333333,0.01,0.008333333333333333,0.006666666666666667,0.005,0.0033333333333333335,0.0016666666666666668,0.0
fatalities002_faostat_rf,0.0,0.025,0.02,0.0,0.0,0.0,0.0033333333333333335,0.006666666666666667,0.01,0.006666666666666667,0.0033333333333333335,0.0,0.0033333333333333335,0.006666666666666667,0.01,0.011666666666666667,0.013333333333333334,0.015,0.016666666666666666,0.018333333333333333,0.02,0.021666666666666667,0.023333333333333334,0.025,0.020833333333333332,0.016666666666666666,0.012500000000000002,0.008333333333333333,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fatalities002_faoprices_rf,0.01,0.025,0.02,0.0,0.015,0.03,0.03,0.03,0.03,0.02,0.01,0.0,0.0033333333333333335,0.006666666666666667,0.01,0.006666666666666667,0.0033333333333333335,0.0,0.0016666666666666668,0.0033333333333333335,0.005,0.006666666666666667,0.008333333333333333,0.01,0.015,0.02,0.024999999999999998,0.03,0.035,0.04,0.035833333333333335,0.03166666666666667,0.027499999999999997,0.023333333333333334,0.019166666666666665,0.015
fatalities002_imfweo_rf,0.01,0.0,0.01,0.1,0.08,0.06,0.04,0.02,0.0,0.0033333333333333335,0.006666666666666667,0.01,0.011666666666666667,0.013333333333333334,0.015,0.016666666666666666,0.018333333333333333,0.02,0.016666666666666666,0.013333333333333334,0.01,0.006666666666666667,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.008333333333333333,0.012500000000000002,0.016666666666666666,0.020833333333333332,0.025
fatalities002_Markov_glm,0.1,0.25,0.3,0.25,0.275,0.3,0.3,0.3,0.3,0.26,0.21999999999999997,0.18,0.20333333333333334,0.22666666666666666,0.25,0.26666666666666666,0.2833333333333333,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
fatalities002_Markov_rf,0.18,0.2,0.16,0.18,0.18,0.18,0.14333333333333334,0.10666666666666667,0.07,0.10666666666666667,0.14333333333333334,0.18,0.16,0.13999999999999999,0.12,0.16333333333333333,0.20666666666666667,0.25,0.22,0.19000000000000003,0.16,0.13,0.10000000000000002,0.07,0.07166666666666667,0.07333333333333335,0.075,0.07666666666666667,0.07833333333333334,0.08,0.10833333333333334,0.1366666666666667,0.165,0.19333333333333333,0.22166666666666668,0.25
